Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,Stemmeberettigede,GyldigeStemmer
575015,575015,55,7,2,510,414
575016,575016,55,7,2,2191,1691
575017,575017,55,7,2,1074,838
575018,575018,55,7,2,1113,878
575019,575019,55,7,2,1581,1112
580001,580001,50,7,2,646,476
580002,580002,50,7,2,643,502
580003,580003,50,7,2,5102,3706
580004,580004,50,7,2,3304,2489
580005,580005,50,7,2,1434,1071
580006,580006,50,7,2,661,480
580007,580007,50,7,2,1681,1181
580008,580008,50,7,2,1735,1312
580009,580009,50,7,2,1620,1194
580010,580010,50,7,2,923,682
580011,580011,50,7,2,1902,1284
580012,580012,50,7,2,2541,1755
580013,580013,50,7,2,1638,1228
580014,580014,50,7,2,3010,2153
580015,580015,50,7,2,3580,2614
580016,580016,50,7,2,7085,4847
580017,580017,50,7,2,3002,2168
580018,580018,50,7,2,1932,1279
607001,607001,58,7,2,10818,7360
607002,607002,58,7,2,1138,935
607003,607003,58,7,2,7222,5599
607004,607004,58,7,2,597,464
607005,607005,58,7,2,4031,3087
607006,607006,58,7,2,7464,4848
607007,607007,58,7,2,1441,1150
607008,607008,58,7,2,4712,2977
615001,615001,71,8,3,4602,2778
615002,615002,71,8,3,4601,2845
615003,615003,71,8,3,7292,4507
615004,615004,71,8,3,148,126
615005,615005,71,8,3,4325,3020
615006,615006,71,8,3,6957,5141
615007,615007,71,8,3,4171,3185
615008,615008,71,8,3,2045,1570
615009,615009,71,8,3,1952,1442
615010,615010,71,8,3,2073,1599
615011,615011,71,8,3,4606,3695
615012,615012,71,8,3,2674,2071
615013,615013,71,8,3,3543,2582
615014,615014,71,8,3,1351,1016
615015,615015,71,8,3,836,624
615016,615016,71,8,3,2525,1837
615017,615017,71,8,3,1952,1475
615018,615018,71,8,3,2488,1857
615019,615019,71,8,3,1371,1091
615020,615020,71,8,3,543,440
615021,615021,71,8,3,1285,717
615022,615022,71,8,3,396,310
621001,621001,59,7,2,5665,3626
621002,621002,59,7,2,3606,2052
621003,621003,59,7,2,4205,2806
621004,621004,59,7,2,5909,4589
621005,621005,59,7,2,4025,2980
621006,621006,59,7,2,3484,2657
621007,621007,59,7,2,4183,3106
621008,621008,60,7,2,4530,2845
621009,621009,60,7,2,6494,4293
621010,621010,60,7,2,4400,3331
621011,621011,60,7,2,3218,2430
621012,621012,60,7,2,3336,2476
621013,621013,60,7,2,2178,1629
621014,621014,60,7,2,5467,3834
621015,621015,60,7,2,5088,3656
630001,630001,57,7,2,2329,1589
630002,630002,57,7,2,4323,3157
630003,630003,57,7,2,1588,1268
630004,630004,57,7,2,1687,1298
630005,630005,57,7,2,1427,1134
630006,630006,57,7,2,2692,1951
